cell,domain,s,reuse,pattern,breadth,realized_selectivity,union_share,n_queries,A,B,C,CBO,D,O,D_plus,optimal,regret_D,regret_CBO,regret_D_plus,regret_C,regret_A,regret_B,C_over_A,C_over_B,D_over_CBO,D_over_O,A_over_O,B_over_O,union_rows,semantic_rows_A,semantic_rows_B,semantic_rows_C,semantic_rows_D,tokens_A,tokens_D,switches_D,plan_hist_D,p95_A,p95_D
ecom|s1|r50|PRED_OVERLAP|c4,ecom,1,50,PRED_OVERLAP,4,0.00978,0.2177,50,9.73528,4.741328,2.12018,2.17835,2.17835,2.12018,2.17835,C,0.02744,0.02744,0.02744,0.0,3.59172,1.23629,0.2178,0.4472,1.0,1.0274,4.5917,2.2363,8708,40000,19552,8708,8948,3727256,832710,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,4780.2
ecom|s1|r50|PRED_MUTEX|c1,ecom,1,50,PRED_MUTEX,1,0.01,0.5,50,2.599684,1.29779,1.30179,1.29779,1.29779,1.29779,1.29779,B,0.0,0.0,0.0,0.00308,1.00316,0.0,0.5007,1.0031,1.0,1.0,2.0032,1.0,5000,10000,5000,5000,5000,1058958,529517,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,2117.35
ecom|s1|r50|PRED_MUTEX|c2,ecom,1,50,PRED_MUTEX,2,0.01,0.5,50,5.198216,2.593196,2.601196,2.593196,2.593196,2.593196,2.593196,B,0.0,0.0,0.0,0.00308,1.00456,0.0,0.5004,1.0031,1.0,1.0,2.0046,1.0,10000,20000,10000,10000,10000,2011724,1005970,0,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 50}",13.4,4298.1
ecom|s1|r50|PRED_MUTEX|c4,ecom,1,50,PRED_MUTEX,4,0.01,0.5,50,9.73528,4.854008,4.870008,4.854008,4.854008,4.854008,4.854008,B,0.0,0.0,0.0,0.0033,1.00562,0.0,0.5002,1.0033,1.0,1.0,2.0056,1.0,20000,40000,20000,20000,20000,3727256,1863876,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,8061.4
ecom|s1|r100|PRED_SHARED|c1,ecom,1,100,PRED_SHARED,1,0.0103,0.0103,100,2.603684,2.66035,0.034606,0.061129,0.061129,0.034606,0.061129,C,0.76644,0.76644,0.76644,0.0,74.23815,75.87562,0.0133,0.013,1.0,1.7664,75.2382,76.8756,103,10000,10300,103,206,1058958,21712,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,13.4
ecom|s1|r100|PRED_SHARED|c2,ecom,1,100,PRED_SHARED,2,0.0103,0.0103,100,5.202216,5.3197,0.061282,0.114399,0.114399,0.061282,0.114399,C,0.86677,0.86677,0.86677,0.0,83.89007,85.80718,0.0118,0.0115,1.0,1.8668,84.8901,86.8072,206,20000,20600,206,412,2011724,41250,1,"{""EAGER"": 0, ""LATE_PERSIST"": 99, ""PER_QUERY"": 1}",13.4,13.4
ecom|s1|r100|PRED_SHARED|c4,ecom,1,100,PRED_SHARED,4,0.0103,0.0103,100,9.73928,9.9586,0.107836,0.207342,0.207342,0.107836,0.207342,C,0.92276,0.92276,0.92276,0.0,89.316,91.34984,0.0111,0.0108,1.0,1.9228,90.316,92.3498,412,40000,41200,412,824,3727256,76412,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,13.4
ecom|s1|r100|PRED_DISTINCT|c1,ecom,1,100,PRED_DISTINCT,1,0.0099,0.6295,100,2.603684,2.571438,1.642117,1.750034,1.750034,1.642117,1.750034,C,0.06572,0.06572,0.06572,0.0,0.58556,0.56593,0.6307,0.6386,1.0,1.0657,1.5856,1.5659,6295,10000,9904,6295,6713,1058958,711037,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,2048.25
ecom|s1|r100|PRED_DISTINCT|c2,ecom,1,100,PRED_DISTINCT,2,0.0099,0.6295,100,5.202216,5.1377,3.278069,3.494049,3.494049,3.278069,3.494049,C,0.06589,0.06589,0.06589,0.0,0.58698,0.56729,0.6301,0.638,1.0,1.0659,1.587,1.5673,12590,20000,19808,12590,13426,2011724,1350799,19,"{""EAGER"": 0, ""LATE_PERSIST"": 88, ""PER_QUERY"": 12}",13.4,4163.5
ecom|s1|r100|PRED_DISTINCT|c4,ecom,1,100,PRED_DISTINCT,4,0.0099,0.6295,100,9.73928,9.61656,6.134502,6.768098,6.768098,6.134502,6.768098,C,0.10328,0.10328,0.10328,0.0,0.58762,0.56762,0.6299,0.6379,1.0,1.1033,1.5876,1.5676,25180,40000,39616,25180,27800,3727256,2591258,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,7968.4
